Date,day,OpenPrice,ClosePrice,DayHigh,DayLow,Volume
15/05/2019,76,91.39749908,93.55750275,93.72149658,91.15000153,93852000
16/05/2019,77,94.29699707,95.37850189,95.87550354,94.11450195,94156000
17/05/2019,78,94.65249634,93.44999695,95.52649689,93.36650085,94732000
20/05/2019,79,92.6344986,92.94850159,93.38899994,91.77700043,75964000
21/05/2019,80,93.73950195,92.87599945,93.94999695,92.30000305,80102000
22/05/2019,81,92.58899689,92.98400116,93.57450104,92.55000305,58732000
23/05/2019,82,91.82949829,90.77400208,92.19999695,90.20999908,88486000
24/05/2019,83,91.79450226,91.16400146,92.08799744,90.89250183,67394000
28/05/2019,84,91.63749695,91.82150269,92.46350098,91.36750031,64000000
29/05/2019,85,91.15599823,90.95950317,91.5,90.37650299,85580000
30/05/2019,86,91.27449799,90.81600189,91.47350311,90.39150238,62938000
31/05/2019,87,89.50050354,88.75350189,89.77950287,88.63500214,92376000
3/06/2019,88,88.00050354,84.6344986,88.3144989,83.59999847,181974000
4/06/2019,89,84.96199799,86.47799683,86.54100037,84.04450226,113582000
5/06/2019,90,87.48000336,86.92500305,87.59999847,85.76249695,84796000
6/06/2019,91,86.88549805,87.71800232,88,86.3065033,73786000
7/06/2019,92,88.18499756,90.20149994,90.3125,87.97450256,96164000
10/06/2019,93,91.09999847,93.03150177,94.24349976,90.90000153,107420000
11/06/2019,94,94.16249847,93.18499756,94.68499756,92.90000153,80854000
12/06/2019,95,92.6989975,92.76599884,93.25,92.21900177,53566000
13/06/2019,96,93.33599854,93.51499939,94.15450287,93.11100006,55916000
14/06/2019,97,93.19999695,93.48349762,93.80000305,92.94999695,57024000
17/06/2019,98,93.82499695,94.30149841,94.78450012,93.77249908,52686000
18/06/2019,99,95.06749725,95.0684967,96.08350372,94.98950195,77914000
19/06/2019,100,95.39199829,95.4394989,95.97899628,94.62349701,57906000
20/06/2019,101,96.66649628,95.90950012,96.76000214,95.29000092,64344000
21/06/2019,102,95.80500031,95.56500244,96.29750061,95.3789978,78672000
24/06/2019,103,95.63300323,95.69499969,95.84300232,95.06500244,45660000
25/06/2019,104,95.59200287,93.91349792,95.81950378,93.6210022,60246000
26/06/2019,105,94.62400055,94.89150238,95.19000244,94.36599731,48838000
27/06/2019,106,95.09999847,95.21399689,95.56199646,94.90200043,42834000
28/06/2019,107,95.45500183,94.6815033,95.64700317,94.19999695,60748000
1/07/2019,108,96.14900208,96.10949707,96.49099731,95.73300171,63842000
2/07/2019,109,95.96900177,96.71549988,96.73950195,95.33149719,52918000
3/07/2019,110,96.79450226,96.94999695,97.07949829,96.52500153,33806000
5/07/2019,111,96.43000031,97.14550018,97.29499817,96.26499939,52568000
8/07/2019,112,96.70600128,97.61599731,97.80000305,96.41249847,57668000
9/07/2019,113,97.38999939,99.41500092,99.50050354,97.1740036,86914000
10/07/2019,114,99.82550049,100.8704987,101.2470016,99.76999664,98638000
11/07/2019,115,101.2809982,100.0534973,101.7900009,99.76499939,86356000
12/07/2019,116,100.4134979,100.5500031,100.8499985,100.1934967,50186000
15/07/2019,117,101.0699997,101.0494995,101.1449966,100.0774994,59626000
16/07/2019,118,100.5289993,100.4950027,101.3160019,100.060997,52364000
17/07/2019,119,100.3525009,99.60150146,100.5999985,99.60150146,51176000
18/07/2019,120,99.00050354,98.89499664,99.375,97.57749939,69738000
19/07/2019,121,99.5605011,98.22599792,99.80000305,98.1115036,63712000
22/07/2019,122,98.55699921,99.28150177,99.44999695,97.91300201,58000000
23/07/2019,123,99.79949951,99.72450256,99.88950348,98.65650177,54070000
24/07/2019,124,98.46499634,100.0404968,100.0650024,98.29350281,52626000
25/07/2019,125,100.0500031,98.69100189,100.0599976,98.63600159,82730000
26/07/2019,126,97.09999847,97.15249634,97.54499817,96.22550201,98542000
29/07/2019,127,96.5,95.62249756,96.6115036,94.52700043,89864000
30/07/2019,128,94.55599976,94.92649841,95.49449921,94.1740036,58218000
31/07/2019,129,94.90550232,93.33899689,94.97750092,92.47200012,89414000
1/08/2019,130,93.58599854,92.76599884,94.89600372,92.20050049,94266000
2/08/2019,131,92.25350189,91.16200256,92.31800079,90.40100098,99124000
5/08/2019,132,88.51100159,88.25650024,89.4335022,87.43900299,121164000
6/08/2019,133,89.6115036,89.39150238,89.68849945,87.66999817,101406000
7/08/2019,134,88.69950104,89.66999817,89.94650269,87.84999847,90538000
8/08/2019,135,90.30000305,91.64450073,91.71299744,89.90550232,74024000
9/08/2019,136,91.44750214,90.3789978,91.55449677,90.11100006,57596000
12/08/2019,137,89.79949951,89.2460022,90.0490036,88.84999847,58110000
13/08/2019,138,89.15000153,91.21700287,91.58699799,89,79880000
14/08/2019,139,89.65049744,88.14800262,89.78250122,87.86100006,97872000
15/08/2019,140,89.09950256,88.80599976,89.40000153,88.09799957,75182000
16/08/2019,141,89.64450073,89.62850189,90.14550018,89.22750092,60360000
19/08/2019,142,90.90399933,90.80599976,91.30000305,90.63050079,56326000
20/08/2019,143,90.72499847,90.06900024,90.84100342,89.9940033,38590000
21/08/2019,144,90.96949768,91.17700195,91.47899628,90.75,40636000
22/08/2019,145,91.40000153,90.23300171,91.47049713,90.00499725,53070000
